TimeStep,CaseName,__CatalystChannel__,TimeValue,FILE
0,TaylorGreen0,particles,0,data/171296/171296_0.vtu
10,TaylorGreen0,particles,2,data/948394/948394_0.vtu
20,TaylorGreen0,particles,4,data/866960/866960_0.vtu
30,TaylorGreen0,particles,6,data/522128/522128_0.vtu
40,TaylorGreen0,particles,8,data/322417/322417_0.vtu
50,TaylorGreen0,particles,10,data/713958/713958_0.vtu
60,TaylorGreen0,particles,12,data/629363/629363_0.vtu
70,TaylorGreen0,particles,14,data/887028/887028_0.vtu
80,TaylorGreen0,particles,16,data/5137/5137_0.vtu
90,TaylorGreen0,particles,18,data/404859/404859_0.vtu
100,TaylorGreen0,particles,20,data/305605/305605_0.vtu
110,TaylorGreen0,particles,22,data/615480/615480_0.vtu
120,TaylorGreen0,particles,24,data/871189/871189_0.vtu
130,TaylorGreen0,particles,26,data/425741/425741_0.vtu
140,TaylorGreen0,particles,28,data/315646/315646_0.vtu
150,TaylorGreen0,particles,30,data/851941/851941_0.vtu
160,TaylorGreen0,particles,32,data/822233/822233_0.vtu
170,TaylorGreen0,particles,34,data/744278/744278_0.vtu
180,TaylorGreen0,particles,36,data/816808/816808_0.vtu
190,TaylorGreen0,particles,38,data/696271/696271_0.vtu
200,TaylorGreen0,particles,40,data/660593/660593_0.vtu
0,TaylorGreen1,particles,0,data/338842/338842_0.vtu
10,TaylorGreen1,particles,2,data/270029/270029_0.vtu
20,TaylorGreen1,particles,4,data/547496/547496_0.vtu
30,TaylorGreen1,particles,6,data/560701/560701_0.vtu
40,TaylorGreen1,particles,8,data/943923/943923_0.vtu
50,TaylorGreen1,particles,10,data/282134/282134_0.vtu
60,TaylorGreen1,particles,12,data/359775/359775_0.vtu
70,TaylorGreen1,particles,14,data/422447/422447_0.vtu
80,TaylorGreen1,particles,16,data/145984/145984_0.vtu
90,TaylorGreen1,particles,18,data/752248/752248_0.vtu
100,TaylorGreen1,particles,20,data/110095/110095_0.vtu
110,TaylorGreen1,particles,22,data/216994/216994_0.vtu
120,TaylorGreen1,particles,24,data/977056/977056_0.vtu
130,TaylorGreen1,particles,26,data/523307/523307_0.vtu
140,TaylorGreen1,particles,28,data/539411/539411_0.vtu
150,TaylorGreen1,particles,30,data/207366/207366_0.vtu
160,TaylorGreen1,particles,32,data/669022/669022_0.vtu
170,TaylorGreen1,particles,34,data/942791/942791_0.vtu
180,TaylorGreen1,particles,36,data/212503/212503_0.vtu
190,TaylorGreen1,particles,38,data/73881/73881_0.vtu
200,TaylorGreen1,particles,40,data/764749/764749_0.vtu
0,TaylorGreen2,particles,0,data/1179/1179_0.vtu
10,TaylorGreen2,particles,2,data/998884/998884_0.vtu
20,TaylorGreen2,particles,4,data/205714/205714_0.vtu
30,TaylorGreen2,particles,6,data/152290/152290_0.vtu
40,TaylorGreen2,particles,8,data/940977/940977_0.vtu
50,TaylorGreen2,particles,10,data/521360/521360_0.vtu
60,TaylorGreen2,particles,12,data/4231/4231_0.vtu
70,TaylorGreen2,particles,14,data/763210/763210_0.vtu
80,TaylorGreen2,particles,16,data/781991/781991_0.vtu
90,TaylorGreen2,particles,18,data/337391/337391_0.vtu
100,TaylorGreen2,particles,20,data/975833/975833_0.vtu
110,TaylorGreen2,particles,22,data/401239/401239_0.vtu
120,TaylorGreen2,particles,24,data/52886/52886_0.vtu
130,TaylorGreen2,particles,26,data/386507/386507_0.vtu
140,TaylorGreen2,particles,28,data/683373/683373_0.vtu
150,TaylorGreen2,particles,30,data/412662/412662_0.vtu
160,TaylorGreen2,particles,32,data/325306/325306_0.vtu
170,TaylorGreen2,particles,34,data/829358/829358_0.vtu
180,TaylorGreen2,particles,36,data/164910/164910_0.vtu
190,TaylorGreen2,particles,38,data/951754/951754_0.vtu
200,TaylorGreen2,particles,40,data/346889/346889_0.vtu
0,TaylorGreen3,particles,0,data/442584/442584_0.vtu
10,TaylorGreen3,particles,2,data/381904/381904_0.vtu
20,TaylorGreen3,particles,4,data/928810/928810_0.vtu
30,TaylorGreen3,particles,6,data/870196/870196_0.vtu
40,TaylorGreen3,particles,8,data/437667/437667_0.vtu
50,TaylorGreen3,particles,10,data/136176/136176_0.vtu
60,TaylorGreen3,particles,12,data/55570/55570_0.vtu
70,TaylorGreen3,particles,14,data/380459/380459_0.vtu
80,TaylorGreen3,particles,16,data/865031/865031_0.vtu
90,TaylorGreen3,particles,18,data/129451/129451_0.vtu
100,TaylorGreen3,particles,20,data/661560/661560_0.vtu
110,TaylorGreen3,particles,22,data/851517/851517_0.vtu
120,TaylorGreen3,particles,24,data/813850/813850_0.vtu
130,TaylorGreen3,particles,26,data/837596/837596_0.vtu
140,TaylorGreen3,particles,28,data/372878/372878_0.vtu
150,TaylorGreen3,particles,30,data/334433/334433_0.vtu
160,TaylorGreen3,particles,32,data/600806/600806_0.vtu
170,TaylorGreen3,particles,34,data/154869/154869_0.vtu
180,TaylorGreen3,particles,36,data/671824/671824_0.vtu
190,TaylorGreen3,particles,38,data/92992/92992_0.vtu
200,TaylorGreen3,particles,40,data/113805/113805_0.vtu
